Brand,URL,Brand_URL_Part
Ariana Grande,https://www.douglas.pl/pl/b/ariana-grande/b5068,b5068
Armani,https://www.douglas.pl/pl/b/armani/b0014,b0014
Armani Exchange,https://www.douglas.pl/pl/b/armani-exchange/ba151,ba151
Arquiste,https://www.douglas.pl/pl/b/arquiste/b3257,b3257
ARTDECO,https://www.douglas.pl/pl/b/artdeco/b0180,b0180
Art de Parfum,https://www.douglas.pl/pl/b/art-de-parfum/bc275,bc275
Artego,https://www.douglas.pl/pl/b/artego/bb086,bb086
Artemis,https://www.douglas.pl/pl/b/artemis/b2202,b2202
ASABI,https://www.douglas.pl/pl/b/asabi/be100,be100
Asoa,https://www.douglas.pl/pl/b/asoa/b4825,b4825
Atelier Cologne,https://www.douglas.pl/pl/b/atelier-cologne/ba252,ba252
Atelier Oblique,https://www.douglas.pl/pl/b/atelier-oblique/ba719,ba719
Atkinsons,https://www.douglas.pl/pl/b/atkinsons/b4227,b4227
Atrue,https://www.douglas.pl/pl/b/atrue/b3217,b3217
Attirecare,https://www.douglas.pl/pl/b/attirecare/bf761,bf761
Augustinus Bader,https://www.douglas.pl/pl/b/augustinus-bader/b5652,b5652
Aurelia,https://www.douglas.pl/pl/b/aurelia/b5610,b5610
Auri,https://www.douglas.pl/pl/b/auri/b1283,b1283
Australian Bodycare,https://www.douglas.pl/pl/b/australian-bodycare/b6743,b6743
Australian Gold,https://www.douglas.pl/pl/b/australian-gold/bp013,bp013
Ava laboratorium,https://www.douglas.pl/pl/b/ava-laboratorium/b1566,b1566
AVA & MAY,https://www.douglas.pl/pl/b/ava-may/b7953,b7953
Avant Skincare,https://www.douglas.pl/pl/b/avant-skincare/b6392,b6392
Aveda,https://www.douglas.pl/pl/b/aveda/b5552,b5552
Awesome Cosmetics,https://www.douglas.pl/pl/b/awesome-cosmetics/b9724,b9724
Axiology,https://www.douglas.pl/pl/b/axiology/bd863,bd863
AXIS-Y,https://www.douglas.pl/pl/b/axis-y/b5267,b5267
Ayer,https://www.douglas.pl/pl/b/ayer/ba253,ba253
ayliva,https://www.douglas.pl/pl/b/ayliva/b9046,b9046
AZURE TAN,https://www.douglas.pl/pl/b/azure-tan/b1274,b1274
Azzaro,https://www.douglas.pl/pl/b/azzaro/b0603,b0603
BABOR,https://www.douglas.pl/pl/b/babor/b3630,b3630
Baby Foot,https://www.douglas.pl/pl/b/baby-foot/b1786,b1786
BaByliss,https://www.douglas.pl/pl/b/babyliss/b3240,b3240
BaByliss Pro,https://www.douglas.pl/pl/b/babyliss-pro/ba530,ba530
Baija Paris,https://www.douglas.pl/pl/b/baija-paris/bp015,bp015
Bakel,https://www.douglas.pl/pl/b/bakel/ba440,ba440
Bala,https://www.douglas.pl/pl/b/bala/bf637,bf637
Baldessarini,https://www.douglas.pl/pl/b/baldessarini/b0200,b0200
Balmain Hair Couture,https://www.douglas.pl/pl/b/balmain-hair-couture/bp016,bp016
BALR.,https://www.douglas.pl/pl/b/balr/b6324,b6324
Bambino,https://www.douglas.pl/pl/b/bambino/b8462,b8462
BAMM!LASHES,https://www.douglas.pl/pl/b/bammlashes/b7430,b7430
BANILA CO,https://www.douglas.pl/pl/b/banila-co/b5892,b5892
Barberino’s,https://www.douglas.pl/pl/b/barberinos/bf516,bf516
Barbie,https://www.douglas.pl/pl/b/barbie/b4427,b4427
Bardot,https://www.douglas.pl/pl/b/bardot/b7360,b7360
bareMinerals,https://www.douglas.pl/pl/b/bareminerals/b0191,b0191
Barnängen,https://www.douglas.pl/pl/b/barnaengen/b6748,b6748
BARONESS,https://www.douglas.pl/pl/b/baroness/b0274,b0274
BasicLab,https://www.douglas.pl/pl/b/basiclab/b9745,b9745
Batiste,https://www.douglas.pl/pl/b/batiste/b1817,b1817
Baxter of California,https://www.douglas.pl/pl/b/baxter-of-california/ba441,ba441
BBB London,https://www.douglas.pl/pl/b/bbb-london/b6737,b6737
Beaba,https://www.douglas.pl/pl/b/beaba/b2239,b2239
Beachwaver,https://www.douglas.pl/pl/b/beachwaver/b5476,b5476
Bears With Benefits,https://www.douglas.pl/pl/b/bears-with-benefits/b5777,b5777
Beauté Pacifique,https://www.douglas.pl/pl/b/beaute-pacifique/ba255,ba255
Beautifly,https://www.douglas.pl/pl/b/beautifly/b9211,b9211
Beauty Bakerie,https://www.douglas.pl/pl/b/beauty-bakerie/b6249,b6249
Beautybio,https://www.douglas.pl/pl/b/beautybio/ba443,ba443
beautyblender,https://www.douglas.pl/pl/b/beautyblender/b5293,b5293
Beauty & Care,https://www.douglas.pl/pl/b/beauty-care/bp021,bp021
Beauty of Joseon,https://www.douglas.pl/pl/b/beauty-of-joseon/bd673,bd673
Beauty UK,https://www.douglas.pl/pl/b/beauty-uk/b7254,b7254
BEAUUGREEN,https://www.douglas.pl/pl/b/beauugreen/b9873,b9873
Bebe Young Care,https://www.douglas.pl/pl/b/bebe-young-care/b6351,b6351
beBIO,https://www.douglas.pl/pl/b/bebio/bp159,bp159
Becker Solingen,https://www.douglas.pl/pl/b/becker-solingen/b0676,b0676
Bed of Nails,https://www.douglas.pl/pl/b/bed-of-nails/bf295,bf295
belif,https://www.douglas.pl/pl/b/belif/b2500,b2500
Bell,https://www.douglas.pl/pl/b/bell/b1922,b1922
Bella Aurora,https://www.douglas.pl/pl/b/bella-aurora/bc768,bc768
bellapierre,https://www.douglas.pl/pl/b/bellapierre/b5179,b5179
Beloro,https://www.douglas.pl/pl/b/beloro/bd346,bd346
Benamôr,https://www.douglas.pl/pl/b/benamor/b5867,b5867
